FileNumber,FileName,ColumnNumber,Column Name,DataType,List,Nullable,Description,FY2024 Changes,Max Length in HDX 2.0
12,Funder,9,DateUpdated,datetime,,0,,,19
12,Funder,10,UserID,nvarchar(32),,1,n/a - will not be imported,,32
12,Funder,11,DateDeleted,datetime,,1,Must be NULL,,19
12,Funder,12,ExportID,nvarchar(32),,0,Must match LSAReport.ReportID ,,32
13,ProjectCoC,1,ProjectCoCID,nvarchar(32),,0,,,32
13,ProjectCoC,2,ProjectID,nvarchar(32),,0,,,32
13,ProjectCoC,3,CoCCode,nvarchar(6),,0,Must match LSAReport.ReportCoC,,6
13,ProjectCoC,4,Geocode,nvarchar(6),,0,,,6
13,ProjectCoC,5,Address1,nvarchar(100),,1,,,100
13,ProjectCoC,6,Address2,nvarchar(100),,1,,,100
13,ProjectCoC,7,City,nvarchar(50),,1,,,50
13,ProjectCoC,8,State,nvarchar(2),,1,,,2
13,ProjectCoC,9,ZIP,nvarchar(5),,0,,,5
13,ProjectCoC,10,GeographyType,int,42,0,,,2
13,ProjectCoC,11,DateCreated,datetime,,0,,,19
13,ProjectCoC,12,DateUpdated,datetime,,0,,,19
13,ProjectCoC,13,UserID,nvarchar(32),,1,n/a - will not be imported,,32
13,ProjectCoC,14,DateDeleted,datetime,,1,Must be NULL,,19
13,ProjectCoC,15,ExportID,nvarchar(32),,0,Must match LSAReport.ReportID ,,32
14,Inventory,1,InventoryID,nvarchar(32),,0,,,32
14,Inventory,2,ProjectID,nvarchar(32),,0,,,32
14,Inventory,3,CoCCode,nvarchar(6),,0,Must match LSAReport.ReportCoC,,6
14,Inventory,4,HouseholdType,int,39,0,,,1
14,Inventory,5,Availability,int,40,1,,,1
14,Inventory,6,UnitInventory,int,,0,,,10
14,Inventory,7,BedInventory,int,,0,,,10
14,Inventory,8,CHVetBedInventory,int,,0,,,10
14,Inventory,9,YouthVetBedInventory,int,,0,,,10
14,Inventory,10,VetBedInventory,int,,0,,,10
14,Inventory,11,CHYouthBedInventory,int,,0,,,10
14,Inventory,12,YouthBedInventory,int,,0,,,10
14,Inventory,13,CHBedInventory,int,,0,,,10
14,Inventory,14,OtherBedInventory,int,,0,,,10
14,Inventory,15,ESBedType,int,41,1,,,1
14,Inventory,16,InventoryStartDate,date,,0,,,19
14,Inventory,17,InventoryEndDate,date,,1,,,19
14,Inventory,18,DateCreated,datetime,,0,,,19
14,Inventory,19,DateUpdated,datetime,,0,,,19
14,Inventory,20,UserID,nvarchar(32),,1,n/a - will not be imported,,32
14,Inventory,21,DateDeleted,datetime,,1,Must be NULL,,19
14,Inventory,22,ExportID,nvarchar(32),,0,Must match LSAReport.ReportID ,,32
15,HMISParticipation,1,HMISParticipationID,nvarchar(32),,0,,,32
15,HMISParticipation,2,ProjectID,nvarchar(32),,0,Must match a ProjectID in Project.csv,,32
15,HMISParticipation,3,HMISParticipationType,int,47,0,,,1
15,HMISParticipation,4,HMISParticipationStatusStartDate,datetime,,0,,,19
15,HMISParticipation,5,HMISParticipationStatusEndDate,datetime,,1,,,19
15,HMISParticipation,6,DateCreated,datetime,,0,,,19
15,HMISParticipation,7,DateUpdated,datetime,,0,,,19
15,HMISParticipation,8,UserID,nvarchar(32),,1,n/a - will not be imported,,32
15,HMISParticipation,9,DateDeleted,datetime,,1,Must be NULL,,19
15,HMISParticipation,10,ExportID,nvarchar(32),,0,Must match LSAReport.ReportID ,,32
16,Affiliation,1,AffiliationID,nvarchar(32),,0,,,32
16,Affiliation,2,ProjectID,nvarchar(32),,0,Must match a ProjectID in Project.csv where RRHSubType = 1,,32
16,Affiliation,3,ResProjectID,nvarchar(32),,0,Must match a ProjectID in Project.csv where RRHSubType is null or 0,,32
16,Affiliation,4,DateCreated,datetime,,0,,,19
16,Affiliation,5,DateUpdated,datetime,,0,,,19
16,Affiliation,6,UserID,nvarchar(32),,1,n/a - will not be imported,,32
16,Affiliation,7,DateDeleted,datetime,,1,Must be NULL,,19
16,Affiliation,8,ExportID,nvarchar(32),,0,Must match LSAReport.ReportID ,,32
