HoHID,HHType,QualifyingExitHHID,LastInactive,Cohort,Stat,ExitFrom,ExitTo,ReturnTime,HHVet,HHChronic,HHDisability,HHFleeingDV,HoHRaceEthnicity,HHAdultAge,HHParent,AC3Plus,SystemPath,ReportID,Step
"C23976",1,"NXS11214095HH1",2024-01-05,-2,1,2,422,-1,0,1,1,2,5,25,0,0,1,608011156,"7.12.4"
"C23979",1,"PSH11910019HH1",2018-09-30,-2,1,6,225,-1,1,0,0,0,5,55,0,0,-1,608011156,"7.12.1"
"C23988",1,"PSH11910123HH1",2022-11-17,-2,1,6,423,-1,1,0,1,0,27,55,0,0,-1,608011156,"7.12.1"
"C23991",1,"NXS11314076HH1",2024-01-04,-2,1,2,101,-1,0,0,0,0,3,25,0,0,1,608011156,"7.12.4"
"C23997",1,"NXS11314049HH1",2024-01-03,-2,1,2,313,-1,0,0,0,2,5,25,0,0,1,608011156,"7.12.4"
"C24009",1,"PSH11910117HH1",2022-10-13,-2,1,8,420,-1,1,0,1,0,5,55,0,0,8,608011156,"7.12.4"
"C24012",1,"PSH11910064HH1",2021-07-03,-2,1,6,24,-1,1,0,1,0,5,55,0,0,-1,608011156,"7.12.1"
"C24018",1,"PSH11910091HH1",2022-02-26,-2,1,6,433,-1,1,0,1,0,3,25,0,0,-1,608011156,"7.12.1"
"C24027",1,"PSH11910155HH1",2023-01-12,-2,1,6,410,-1,1,0,1,0,5,25,0,0,-1,608011156,"7.12.1"
"C24039",1,"NXS11414045HH1",2024-01-03,-2,1,2,313,-1,0,1,1,0,56,25,0,0,1,608011156,"7.12.4"
"C24045",1,"NXS10314470HH1",2024-01-19,-2,1,2,410,-1,0,0,0,0,5,55,0,0,1,608011156,"7.12.4"
"C24048",1,"NXS12713992HH1",2024-01-02,-2,1,2,313,-1,0,0,0,0,3,25,0,0,1,608011156,"7.12.4"
"C24051",1,"NXS12714150HH1",2023-12-08,-2,5,2,423,293,0,1,1,0,5,25,0,0,1,608011156,"7.12.4"
"C24054",1,"NXS14714116HH1",2024-01-06,-2,1,2,99,-1,0,1,1,2,5,18,0,0,1,608011156,"7.12.4"
"C24060",1,"RRH12214031HH1",2024-01-03,-2,1,7,99,-1,1,9,1,0,5,55,0,0,4,608011156,"7.12.4"
"C24063",2,"RRH13214058HH2",2024-01-04,-2,1,5,422,-1,0,0,0,2,5,25,1,0,4,608011156,"7.12.4"
"C24066",3,"NBN10514088HH1",2024-01-04,-2,1,2,99,-1,0,0,0,0,56,-1,0,0,1,608011156,"7.12.4"
"C24069",1,"NXS11314063HH1",2024-01-04,-2,1,2,312,-1,0,0,1,0,36,25,0,0,1,608011156,"7.12.4"
"C24075",1,"NXS11415025HH1",2024-03-24,-2,1,2,313,-1,0,6,1,0,57,25,0,0,1,608011156,"7.12.4"
"C24078",1,"NBN10514791HH1",2024-02-18,-2,1,2,99,-1,0,1,1,0,35,25,0,0,1,608011156,"7.12.4"
"C24084",1,"TRN10414097HH1",2024-01-05,-2,1,3,313,-1,0,0,1,0,5,25,0,0,2,608011156,"7.12.4"
"C24087",1,"NXS12914098HH1",2024-01-05,-2,1,2,99,-1,0,4,0,0,3,55,0,0,1,608011156,"7.12.4"
"C24090",1,"NXS11214099HH1",2024-01-05,-2,1,2,422,-1,0,4,0,2,5,55,0,0,1,608011156,"7.12.4"
"C24093",1,"NBN10515120HH1",2024-03-31,-2,5,2,99,15,0,0,1,0,56,18,0,0,1,608011156,"7.12.4"
"C24102",1,"RRH13214647HH1",2024-01-15,-2,5,7,313,128,0,4,0,0,2,25,0,0,5,608011156,"7.12.4"
"C24105",1,"NXS15114055HH1",2024-01-03,-2,1,2,410,329,0,0,1,2,5,25,0,0,1,608011156,"7.12.4"
"C24114",1,"NXS14714012HH1",2024-01-02,-2,1,2,99,-1,0,0,1,0,5,18,0,0,1,608011156,"7.12.4"
"C24117",1,"NXS11314507HH1",2024-01-06,-2,5,2,410,270,0,0,0,2,3,25,0,0,1,608011156,"7.12.4"
"C24120",1,"NXS12914168HH1",2024-01-07,-2,1,2,99,-1,0,1,1,0,123,25,0,0,1,608011156,"7.12.4"
"C24123",1,"NXS14713568HH1",2023-12-16,-2,1,2,99,-1,0,0,0,0,5,25,0,0,1,608011156,"7.12.4"
"C24126",1,"NBN10514662HH1",2024-01-29,-2,1,2,99,-1,0,1,1,0,5,55,0,0,1,608011156,"7.12.4"
"C24129",1,"RRH13214497HH1",2024-01-20,-2,1,5,410,-1,0,0,1,2,5,25,0,0,4,608011156,"7.12.4"
"C24135",1,"NXS11614165HH1",2024-01-07,-2,1,2,101,-1,0,9,1,0,5,55,0,0,1,608011156,"7.12.4"
"C24138",1,"NXS10814238HH1",2024-01-10,-2,1,2,98,479,0,4,0,0,5,24,0,0,1,608011156,"7.12.4"
"C24144",1,"NBN10514239HH1",2024-01-12,-2,1,2,99,-1,0,0,0,0,3,25,0,0,1,608011156,"7.12.4"
"C24147",1,"RSO15214675HH1",2024-01-29,-2,5,9,431,412,0,0,0,1,5,55,0,0,1,608011156,"7.12.4"
"C24150",1,"NXS11314250HH1",2024-01-11,-2,1,2,313,704,0,1,1,0,126,55,0,0,1,608011156,"7.12.4"
"C24153",1,"NXS10614236HH1",2024-01-10,-2,1,2,312,-1,0,0,0,0,5,25,0,0,1,608011156,"7.12.4"
"C24156",1,"NXS10614059HH1",2024-01-04,-2,1,2,99,-1,0,9,1,0,5,55,0,0,1,608011156,"7.12.4"
"C24162",1,"NXS11314242HH1",2024-01-10,-2,1,2,313,157,0,0,0,0,56,25,0,0,1,608011156,"7.12.4"
"C24165",1,"NXS11314302HH1",2024-01-12,-2,1,2,313,-1,0,0,1,0,5,25,0,0,1,608011156,"7.12.4"
"C24177",1,"NXS14714224HH1",2024-01-10,-2,1,2,313,303,0,0,0,0,5,55,0,0,1,608011156,"7.12.4"
"C24186",1,"NXS11314317HH1",2024-01-13,-2,1,2,313,578,0,4,0,0,3,24,0,0,1,608011156,"7.12.4"
"C24189",1,"NXS11314318HH1",2024-01-13,-2,1,2,99,589,0,1,1,0,136,25,0,0,1,608011156,"7.12.4"
"C24192",1,"NXS11314659HH1",2024-01-28,-2,1,2,116,-1,0,0,1,0,5,25,0,0,1,608011156,"7.12.4"
"C24198",1,"NXS11014284HH1",2024-01-12,-2,1,2,422,-1,0,0,1,0,5,25,0,0,1,608011156,"7.12.4"
"C24201",1,"NXS11314321HH1",2024-01-13,-2,1,2,410,-1,1,0,1,0,5,55,0,0,1,608011156,"7.12.4"
"C24213",1,"NXS11114341HH1",2024-01-13,-2,1,2,423,-1,0,0,0,2,5,25,0,0,1,608011156,"7.12.4"
"C24216",1,"NXS12914352HH1",2024-01-14,-2,1,2,99,-1,0,0,0,0,5,25,0,0,1,608011156,"7.12.4"
"C24225",1,"NBN10514644HH1",2024-01-28,-2,1,2,99,-1,0,4,0,1,3,24,0,0,1,608011156,"7.12.4"
"C24228",1,"NXS10915459HH1",2024-05-12,-2,3,2,423,482,0,0,0,1,3,25,0,0,1,608011156,"7.12.4"
"C24231",2,"NXS10214350HH2",2024-01-14,-2,1,2,420,-1,0,4,0,1,147,25,1,0,1,608011156,"7.12.4"
"C24237",1,"NXS11114536HH1",2024-01-15,-2,5,2,312,-1,0,0,0,0,3,24,0,0,1,608011156,"7.12.4"
"C24243",1,"TRN10414409HH1",2024-01-17,-2,1,3,98,-1,0,0,1,0,5,25,0,0,2,608011156,"7.12.4"
"C24252",1,"NXS11014431HH1",2024-01-18,-2,1,2,313,-1,0,0,1,0,5,24,0,0,1,608011156,"7.12.4"
"C24255",1,"NXS10814306HH1",2024-01-12,-2,1,2,99,-1,1,0,0,0,5,55,0,0,1,608011156,"7.12.4"
"C24261",1,"NXS10314473HH1",2024-01-19,-2,1,2,423,-1,0,1,1,1,5,25,0,0,1,608011156,"7.12.4"
"C24264",1,"NXS10214504HH1",2024-01-20,-2,1,2,101,-1,0,0,0,0,167,25,0,0,1,608011156,"7.12.4"
"C24267",1,"NXS11315107HH1",2024-01-20,-2,5,2,99,143,0,9,1,0,56,25,0,0,1,608011156,"7.12.4"
"C24270",1,"NXS15114445HH1",2024-01-18,-2,1,2,312,-1,0,0,1,0,234,24,0,0,1,608011156,"7.12.4"
"C24273",2,"RRH12314576HH3",2024-01-24,-2,1,5,423,-1,1,0,1,2,5,25,1,0,4,608011156,"7.12.4"
"C24285",1,"NXS10314468HH1",2024-01-19,-2,1,2,116,728,0,4,0,0,3,25,0,0,1,608011156,"7.12.4"
"C24288",2,"NXS10214528HH3",2024-01-21,-2,1,2,313,-1,0,0,1,2,5,25,1,0,1,608011156,"7.12.4"
"C24300",1,"NXS11314580HH1",2024-01-20,-2,5,2,410,706,0,0,1,0,5,25,0,0,1,608011156,"7.12.4"
"C24303",1,"RRH12614722HH1",2024-02-08,-2,1,5,410,-1,0,0,1,0,3,25,0,0,4,608011156,"7.12.4"
"C24306",1,"TRN10414581HH1",2024-01-24,-2,1,3,98,-1,0,0,1,0,5,25,0,0,2,608011156,"7.12.4"
"C24309",1,"NXS11315510HH1",2024-05-19,-2,1,2,313,70,0,0,1,0,5,18,0,0,1,608011156,"7.12.4"
"C24312",2,"NXS10214628HH2",2024-01-27,-2,1,2,312,-1,0,4,0,0,2,24,1,0,1,608011156,"7.12.4"
"C24321",1,"NXS10614610HH1",2024-01-25,-2,1,2,101,-1,0,0,0,0,5,24,0,0,1,608011156,"7.12.4"
"C24324",2,"NXS10214633HH3",2024-01-27,-2,1,2,314,-1,0,0,0,0,5,25,1,0,1,608011156,"7.12.4"
"C24327",2,"NXS11315094HH2",2024-04-01,-2,1,2,410,-1,0,0,0,0,5,25,1,0,1,608011156,"7.12.4"
"C24333",1,"NXS10614887HH1",2024-03-09,-2,1,2,420,-1,0,9,1,2,256,25,0,0,1,608011156,"7.12.4"
"C24354",1,"NXS10614621HH1",2024-01-26,-2,1,2,420,-1,0,0,0,2,5,25,0,0,1,608011156,"7.12.4"
"C24366",2,"NXS10214669HH3",2024-01-31,-2,1,2,312,216,0,0,0,2,3,25,1,0,1,608011156,"7.12.4"
"C24375",1,"NXS11414745HH1",2024-02-09,-2,1,2,314,412,0,0,0,0,3,55,0,0,1,608011156,"7.12.4"
"C24378",1,"NXS10315192HH1",2024-04-12,-2,1,2,99,-1,0,1,1,1,3,25,0,0,1,608011156,"7.12.4"
"C24381",1,"NXS11114688HH1",2024-02-01,-2,1,2,410,-1,0,0,0,2,5,55,0,0,1,608011156,"7.12.4"
"C24399",1,"NXS11115415HH1",2024-05-05,-2,1,2,410,-1,0,0,0,0,98,24,0,0,1,608011156,"7.12.4"
"C24402",2,"RRH13214758HH4",2024-02-10,-2,1,5,422,-1,0,0,0,0,347,25,1,0,4,608011156,"7.12.4"
"C24426",2,"NBN10514844HH7",2024-02-27,-2,1,2,99,-1,0,0,0,0,3,25,1,1,1,608011156,"7.12.4"
"C24444",2,"NXS10214683HH3",2024-02-01,-2,1,2,312,-1,0,0,0,0,367,25,1,0,1,608011156,"7.12.4"
"C24453",1,"RRH12614809HH1",2024-02-17,-2,1,5,423,728,0,0,1,2,5,55,0,0,4,608011156,"7.12.4"
"C24471",1,"NXS12713596HH1",2023-12-17,-2,1,2,313,-1,0,0,0,0,5,25,0,0,1,608011156,"7.12.4"
"C24474",1,"NXS12714151HH1",2024-01-06,-2,1,2,313,316,0,0,0,0,5,25,0,0,1,608011156,"7.12.4"
"C24477",1,"NXS12713944HH1",2023-12-30,-2,1,2,313,-1,0,1,1,0,5,25,0,0,1,608011156,"7.12.4"
"C24480",1,"NXS12714360HH1",2024-01-14,-2,1,2,116,-1,0,4,0,0,5,55,0,0,1,608011156,"7.12.4"
"C24483",1,"NXS12713287HH1",2023-12-07,-2,1,2,116,-1,0,0,0,0,5,25,0,0,1,608011156,"7.12.4"
"C24486",1,"NXS12714308HH1",2024-01-12,-2,1,2,313,-1,0,0,0,0,567,24,0,0,1,608011156,"7.12.4"
"C24489",1,"NXS12714403HH1",2024-01-16,-2,1,2,313,-1,0,0,0,0,5,18,0,0,1,608011156,"7.12.4"
"C24492",1,"NXS12714246HH1",2024-01-11,-2,1,2,313,-1,0,0,1,0,3,55,0,0,1,608011156,"7.12.4"
"C24495",1,"NXS11114714HH1",2024-02-06,-2,1,2,313,310,0,1,1,1,5,25,0,0,1,608011156,"7.12.4"
"C24501",1,"NXS11114716HH1",2024-02-07,-2,1,2,312,-1,0,0,0,0,5,25,0,0,1,608011156,"7.12.4"
"C24504",1,"HAV13714723HH1",2024-02-08,-2,1,4,312,-1,1,0,1,0,5,25,0,0,1,608011156,"7.12.4"
"C24513",1,"NXS10614709HH1",2024-02-04,-2,1,2,312,-1,0,0,0,0,3,25,0,0,1,608011156,"7.12.4"
"C24516",1,"NXS11415458HH1",2024-05-11,-2,1,2,101,126,0,1,1,0,3,18,0,0,1,608011156,"7.12.4"
"C24516",3,"NXS11414719HH1",2024-02-08,-2,1,2,101,-1,0,1,1,0,3,-1,0,0,1,608011156,"7.12.4"
"C24519",1,"NXS11014406HH1",2024-01-17,-2,1,2,410,-1,0,0,1,0,5,55,0,0,1,608011156,"7.12.4"
"C24522",2,"NXS10214724HH3",2024-02-08,-2,1,2,313,514,0,0,1,1,5,25,1,0,1,608011156,"7.12.4"
"C24531",2,"NXS10214727HH3",2024-02-08,-2,1,2,312,-1,0,0,0,0,5,25,1,0,1,608011156,"7.12.4"
"C24540",1,"NXS10214763HH1",2024-02-10,-2,1,2,312,324,0,0,0,0,5,25,0,0,1,608011156,"7.12.4"
"C24543",1,"NXS11315149HH1",2024-04-06,-2,1,2,312,-1,0,1,1,0,3,25,0,0,1,608011156,"7.12.4"
"C24546",2,"NXS10214748HH4",2024-02-10,-2,1,2,313,-1,0,0,0,0,356,24,1,0,1,608011156,"7.12.4"
"C24570",1,"NXS10214752HH2",2024-02-10,-2,1,2,313,-1,0,0,1,0,5,25,0,0,1,608011156,"7.12.4"
"C24576",2,"NXS10214737HH4",2024-02-09,-2,1,2,422,-1,0,4,0,0,3,25,1,0,1,608011156,"7.12.4"
"C24588",2,"NXS10214741HH4",2024-02-09,-2,1,2,410,265,0,0,0,0,5,25,1,0,1,608011156,"7.12.4"
"C24603",1,"NXS11414854HH1",2024-03-01,-2,1,2,116,-1,0,0,0,0,16,25,0,0,1,608011156,"7.12.4"
"C24606",1,"RRH12314771HH2",2024-02-11,-2,1,5,410,-1,1,1,1,2,5,25,1,0,4,608011156,"7.12.4"
"C24615",1,"NXS10314775HH1",2024-02-11,-2,1,2,422,-1,0,4,0,1,17,25,0,0,1,608011156,"7.12.4"
"C24618",1,"RRH15414958HH1",2024-03-15,-2,1,7,422,-1,0,0,1,0,5,25,0,0,4,608011156,"7.12.4"
"C24621",2,"NXS15114733HH3",2024-02-09,-2,1,2,410,-1,0,0,1,0,56,25,1,0,1,608011156,"7.12.4"
"C24648",2,"NXS10215599HH3",2024-05-27,-2,1,2,423,-1,0,0,0,2,5,25,1,0,1,608011156,"7.12.4"
"C24654",1,"NXS10214781HH1",2024-02-14,-2,1,2,312,178,0,0,0,2,5,25,0,0,1,608011156,"7.12.4"
"C24666",2,"NXS10214798HH4",2024-02-16,-2,1,2,313,-1,0,0,0,0,25,25,1,0,1,608011156,"7.12.4"
"C24678",1,"TRN10414802HH1",2024-02-16,-2,1,3,312,-1,0,0,1,2,56,25,0,0,2,608011156,"7.12.4"
"C24681",2,"NXS10214803HH3",2024-02-16,-2,1,2,312,512,0,4,0,0,15,25,1,0,1,608011156,"7.12.4"
"C24693",3,"NXS10614776HH1",2024-02-12,-2,1,2,313,-1,0,0,1,1,35,-1,0,0,1,608011156,"7.12.4"
"C24696",1,"NXS11315165HH1",2024-03-08,-2,5,2,410,-1,0,0,0,0,3,25,0,0,1,608011156,"7.12.4"
"C24699",1,"RRH12314818HH1",2024-02-21,-2,1,5,410,313,1,1,1,0,3,55,0,0,4,608011156,"7.12.4"
"C24702",1,"NXS13514624HH1",2024-01-26,-2,1,2,99,-1,0,1,1,1,5,25,0,0,1,608011156,"7.12.4"
"C24705",1,"NXS13514767HH1",2024-02-11,-2,1,2,99,161,0,4,0,1,5,25,0,0,1,608011156,"7.12.4"
"C24711",1,"NXS13514677HH1",2024-02-01,-2,1,2,98,-1,0,0,0,2,46,25,0,0,1,608011156,"7.12.4"
"C24714",1,"NXS11315207HH1",2024-04-13,-2,4,2,312,146,0,1,1,1,5,18,0,0,1,608011156,"7.12.4"
"C24717",1,"RSO15214841HH1",2024-02-26,-2,1,9,431,570,0,9,1,1,47,25,0,0,12,608011156,"7.12.4"
"C24720",1,"NXS13514850HH1",2024-02-29,-2,1,2,99,-1,0,0,0,2,5,25,0,0,1,608011156,"7.12.4"
"C24726",1,"NBN10514820HH1",2024-02-26,-2,1,2,99,-1,0,0,0,0,5,25,0,0,1,608011156,"7.12.4"
"C24729",1,"NXS10614773HH1",2024-02-11,-2,1,2,420,-1,0,9,1,1,5,25,0,0,1,608011156,"7.12.4"
"C24732",1,"NBN10514827HH1",2024-02-22,-2,1,2,99,19,0,0,0,0,3,25,0,0,1,608011156,"7.12.4"
"C24735",1,"NBN10514829HH1",2024-02-22,-2,1,2,99,-1,0,0,0,0,5,25,0,0,1,608011156,"7.12.4"
"C24738",1,"NXS10614812HH1",2024-02-17,-2,1,2,312,-1,0,9,1,0,5,25,0,0,1,608011156,"7.12.4"
"C24741",1,"NXS15115430HH1",2024-05-07,-2,1,2,431,-1,0,0,0,2,56,25,0,0,1,608011156,"7.12.4"
"C24744",1,"NXS11415041HH1",2024-03-28,-2,1,2,101,-1,0,0,1,1,3,25,0,0,1,608011156,"7.12.4"
"C24744",2,"NXS10315060HH5",2024-03-30,-2,1,2,431,191,0,0,0,1,3,25,1,1,1,608011156,"7.12.4"
"C24747",2,"NBN10514933HH4",2024-03-13,-2,1,2,99,-1,0,0,0,0,3,25,1,0,1,608011156,"7.12.4"
"C24756",1,"NBN10514894HH1",2024-03-10,-2,1,2,99,-1,0,0,1,0,3,55,0,0,1,608011156,"7.12.4"
"C24759",1,"NXS11315346HH1",2024-04-28,-2,1,2,410,-1,0,1,1,1,1,25,0,0,1,608011156,"7.12.4"
"C24765",1,"TRN11814826HH1",2024-02-22,-2,1,3,422,88,1,0,0,0,4,25,0,0,2,608011156,"7.12.4"
"C24771",1,"NXS10314973HH1",2024-03-18,-2,1,2,99,386,0,0,0,0,5,55,0,0,1,608011156,"7.12.4"
"C24783",1,"NXS10814822HH1",2024-02-21,-2,1,2,98,-1,0,0,1,0,124,55,0,0,1,608011156,"7.12.4"
"C24789",1,"NXS10814852HH1",2024-02-29,-2,1,2,312,-1,0,0,0,0,5,25,0,0,1,608011156,"7.12.4"
"C24801",1,"NXS10614856HH1",2024-03-02,-2,1,2,420,154,0,4,0,1,5,25,0,0,1,608011156,"7.12.4"
"C24807",2,"NBN10515057HH2",2024-03-31,-2,1,2,99,491,0,0,0,0,126,25,1,0,1,608011156,"7.12.4"
"C24825",1,"NXS11414881HH1",2024-03-08,-2,1,2,431,-1,0,0,0,0,3,25,0,0,1,608011156,"7.12.4"
"C24828",1,"NXS15114862HH1",2024-03-03,-2,1,2,313,-1,0,0,1,2,5,25,0,0,1,608011156,"7.12.4"
"C24831",1,"NBN10514869HH1",2024-03-07,-2,1,2,99,22,0,0,1,0,45,25,0,0,1,608011156,"7.12.4"
"C24840",2,"NXS15114877HH3",2024-03-08,-2,1,2,410,-1,0,0,1,2,5,25,1,0,1,608011156,"7.12.4"
"C24849",1,"RRH15415189HH1",2024-04-11,-2,1,5,422,-1,0,9,1,2,5,25,0,0,4,608011156,"7.12.4"
"C24852",2,"NXS15114871HH3",2024-03-07,-2,1,2,99,472,0,9,1,2,5,25,1,0,1,608011156,"7.12.4"
"C24861",1,"NXS11315351HH1",2024-04-29,-2,1,2,99,-1,0,6,1,2,137,55,0,0,1,608011156,"7.12.4"
"C24879",1,"RRH12414892HH1",2024-03-10,-2,1,5,204,-1,1,9,1,0,145,55,0,0,4,608011156,"7.12.4"
"C24885",1,"NXS11314889HH1",2024-03-09,-2,1,2,116,184,0,0,1,0,5,25,0,0,1,608011156,"7.12.4"
"C24888",1,"NBN10514923HH1",2024-03-11,-2,1,2,99,-1,0,0,0,0,5,55,0,0,1,608011156,"7.12.4"
"C24891",1,"NBN10514924HH1",2024-03-15,-2,1,2,99,-1,0,0,1,0,5,25,0,0,1,608011156,"7.12.4"
"C24894",1,"NXS11016305HH1",2024-08-22,-2,1,2,420,-1,0,0,0,0,5,55,0,0,1,608011156,"7.12.4"
"C24906",1,"NXS11314906HH1",2024-03-11,-2,1,2,410,-1,0,0,0,0,5,25,0,0,1,608011156,"7.12.4"
"C24918",1,"NXS10214898HH2",2024-03-10,-2,1,2,431,-1,0,0,0,0,3,25,0,0,1,608011156,"7.12.4"
"C24921",2,"NXS10214916HH5",2024-03-11,-2,1,2,423,262,0,0,0,2,157,25,1,1,1,608011156,"7.12.4"
"C24942",1,"NXS10616081HH1",2024-07-28,-2,1,2,204,-1,0,0,0,0,5,25,0,0,1,608011156,"7.12.4"
"C24945",2,"NXS10214912HH2",2024-03-11,-2,1,2,313,-1,0,0,0,1,235,25,1,0,1,608011156,"7.12.4"
"C24951",2,"NXS10214914HH2",2024-03-11,-2,1,2,313,507,0,0,0,2,3,25,1,0,1,608011156,"7.12.4"
"C24957",1,"NXS11115340HH1",2024-03-10,-2,5,2,312,449,0,4,0,0,3,25,0,0,1,608011156,"7.12.4"
"C24960",1,"NXS11314944HH1",2024-03-14,-2,1,2,312,-1,0,0,0,0,236,25,0,0,1,608011156,"7.12.4"
"C24963",1,"NXS10814884HH1",2024-03-09,-2,1,2,410,728,0,0,0,0,5,55,0,0,1,608011156,"7.12.4"
"C24966",1,"NXS11314974HH1",2024-03-18,-2,1,2,313,-1,0,0,1,2,5,25,0,0,1,608011156,"7.12.4"
"C24969",1,"NBN10515040HH1",2024-03-28,-2,1,2,99,-1,1,0,1,2,237,25,0,0,1,608011156,"7.12.4"
"C24975",1,"NXS11214309HH1",2024-01-12,-2,1,2,422,-1,0,4,0,2,245,55,0,0,1,608011156,"7.12.4"
"C24987",1,"RRH12314985HH1",2024-03-21,-2,1,7,207,112,1,1,1,0,246,55,0,0,4,608011156,"7.12.4"
"C24993",2,"NXS10214970HH3",2024-03-18,-2,1,2,312,-1,0,0,0,0,56,25,1,0,1,608011156,"7.12.4"
"C25005",2,"NXS10214986HH2",2024-03-21,-2,1,2,434,-1,0,0,1,2,3,25,1,0,1,608011156,"7.12.4"
"C25014",1,"NXS11314945HH1",2024-03-15,-2,1,2,116,176,1,0,0,0,5,55,0,0,1,608011156,"7.12.4"
"C25017",1,"NXS11115023HH1",2024-03-24,-2,1,2,313,-1,0,0,1,2,257,25,0,0,1,608011156,"7.12.4"
"C25026",1,"RRH14015002HH1",2024-03-22,-2,1,5,423,463,0,0,0,0,5,25,0,0,4,608011156,"7.12.4"
"C25029",1,"NXS11314969HH1",2024-03-17,-2,1,2,312,-1,0,0,1,0,5,25,0,0,1,608011156,"7.12.4"
"C25038",2,"NXS10215007HH6",2024-03-22,-2,1,2,411,-1,0,0,1,0,5,25,1,0,1,608011156,"7.12.4"
"C25050",1,"NXS15115020HH1",2024-03-23,-2,1,2,207,-1,0,0,1,0,345,25,0,0,1,608011156,"7.12.4"
"C25059",1,"NBN10515055HH1",2024-03-30,-2,1,2,99,129,0,0,1,2,56,25,0,0,1,608011156,"7.12.4"
"C25062",1,"NXS11415006HH1",2024-03-22,-2,1,2,98,197,0,4,0,0,3,55,0,0,1,608011156,"7.12.4"
"C25071",1,"NXS11314975HH1",2024-03-18,-2,1,2,312,214,0,0,1,2,347,25,0,0,1,608011156,"7.12.4"
"C25074",1,"NXS10915024HH1",2024-03-24,-2,1,2,225,-1,0,0,0,0,5,55,0,0,1,608011156,"7.12.4"
"C25077",1,"NXS11115027HH1",2024-03-24,-2,1,2,313,-1,0,0,1,2,5,25,0,0,1,608011156,"7.12.4"
"C25080",1,"NXS11314996HH1",2024-03-21,-2,1,2,313,-1,0,0,0,0,5,25,0,0,1,608011156,"7.12.4"
"C25083",1,"NXS11315114HH1",2024-04-05,-2,1,2,312,478,0,0,1,2,356,25,0,0,1,608011156,"7.12.4"
"C25089",1,"NXS11115021HH1",2024-03-23,-2,1,2,98,-1,0,0,1,0,5,25,0,0,1,608011156,"7.12.4"
"C25092",1,"RRH12315195HH1",2024-04-12,-2,1,7,204,-1,1,9,1,1,357,25,0,0,4,608011156,"7.12.4"
"C25095",3,"NXS13815035HH2",2024-03-26,-2,1,2,422,-1,0,0,0,2,5,-1,1,0,1,608011156,"7.12.4"
"C25101",1,"NXS11314997HH1",2024-03-21,-2,1,2,313,-1,0,0,0,2,5,25,0,0,1,608011156,"7.12.4"
"C25104",1,"NXS10615034HH1",2024-03-25,-2,1,2,312,-1,0,0,0,0,367,18,0,0,1,608011156,"7.12.4"
"C25110",1,"RRH13115465HH1",2024-05-13,-2,1,5,207,-1,0,0,1,2,156,25,0,0,4,608011156,"7.12.4"
"C25113",1,"NXS11115042HH1",2024-03-28,-2,1,2,99,-1,0,1,1,0,5,18,0,0,1,608011156,"7.12.4"
"C25119",2,"NXS10215032HH2",2024-03-25,-2,1,2,313,317,0,0,1,2,456,25,1,0,1,608011156,"7.12.4"
"C25125",2,"NXS10215050HH3",2024-03-29,-2,1,2,313,-1,0,0,0,0,5,25,1,0,1,608011156,"7.12.4"
"C25131",1,"NXS15115022HH1",2024-03-23,-2,1,2,313,211,0,0,1,2,5,25,0,0,1,608011156,"7.12.4"
"C25167",2,"NBN10515046HH3",2024-03-28,-2,1,2,99,-1,0,0,1,1,5,24,1,0,1,608011156,"7.12.4"
"C25179",2,"RRH12615086HH3",2024-03-31,-2,1,5,410,-1,0,1,1,2,5,25,1,0,4,608011156,"7.12.4"
"C25194",2,"NXS10215079HH4",2024-03-31,-2,1,2,422,-1,0,0,0,1,3,25,1,1,1,608011156,"7.12.4"
"C25206",1,"NXS10615089HH1",2024-03-31,-2,1,2,99,-1,0,0,0,0,2,55,0,0,1,608011156,"7.12.4"
"C25209",2,"NXS10315137HH2",2024-04-06,-2,1,2,434,-1,0,0,1,2,5,25,1,0,1,608011156,"7.12.4"
"C25215",1,"NXS11115091HH1",2024-04-01,-2,1,2,410,-1,0,0,1,0,5,25,0,0,1,608011156,"7.12.4"
"C25224",1,"NXS13815097HH1",2024-04-02,-2,1,2,422,-1,0,0,0,2,3,25,0,0,1,608011156,"7.12.4"
"C25227",2,"NXS10215104HH3",2024-04-04,-2,1,2,423,-1,0,0,0,0,5,25,1,0,1,608011156,"7.12.4"
"C25236",2,"NXS10215109HH2",2024-04-04,-2,1,2,422,-1,0,0,0,0,3,25,1,0,1,608011156,"7.12.4"
"C25245",1,"NXS13815148HH1",2024-04-06,-2,1,2,434,-1,0,0,1,2,5,25,0,0,1,608011156,"7.12.4"
"C25248",1,"NXS11315139HH1",2024-04-06,-2,1,2,312,-1,0,0,1,0,5,25,0,0,1,608011156,"7.12.4"
"C25251",1,"NXS11315143HH1",2024-04-06,-2,1,2,314,556,0,0,1,2,5,25,0,0,1,608011156,"7.12.4"
"C25254",1,"NXS11415145HH1",2024-04-06,-2,1,2,313,-1,0,0,1,0,7,25,0,0,1,608011156,"7.12.4"
"C25257",1,"NBN10515146HH1",2024-04-08,-2,1,2,99,-1,0,0,1,0,3,25,0,0,1,608011156,"7.12.4"
"C25260",1,"NXS11315133HH1",2024-04-05,-2,1,2,313,205,0,4,0,2,5,25,0,0,1,608011156,"7.12.4"
"C25269",1,"NXS15115102HH1",2024-04-04,-2,1,2,410,-1,0,1,1,2,5,55,0,0,1,608011156,"7.12.4"
